Time[s], data, clock, present
2.357374, 1, 1, 0
2.358379, 1, 0, 0
2.3588745, 1, 1, 0
2.3598795, 1, 0, 0
2.360375, 1, 1, 0
2.36138, 1, 0, 0
2.3618755, 1, 1, 0
2.36288, 1, 0, 0
2.363376, 1, 1, 0
2.3643805, 1, 0, 0
2.3648765, 1, 1, 0
2.365881, 1, 0, 0
2.366377, 1, 1, 0
2.3673815, 1, 0, 0
2.3678775, 1, 1, 0
2.368882, 1, 0, 0
2.369378, 1, 1, 0
2.3703825, 1, 0, 0
2.3708785, 1, 1, 0
2.371883, 1, 0, 0
2.372379, 1, 1, 0
2.3733835, 1, 0, 0
2.3738795, 1, 1, 0
2.374884, 1, 0, 0
2.37538, 1, 1, 0
2.3763845, 1, 0, 0
2.3768805, 1, 1, 0
2.377885, 1, 0, 0
2.378381, 1, 1, 0
2.3793855, 1, 0, 0
2.379881, 1, 1, 0
2.380886, 1, 0, 0
2.3813815, 1, 1, 0
2.3823865, 1, 0, 0
2.382882, 1, 1, 0
2.383887, 1, 0, 0
2.3843825, 1, 1, 0
2.3853875, 1, 0, 0
2.385883, 1, 1, 0
2.386888, 1, 0, 0
2.3873835, 1, 1, 0
2.388388, 1, 0, 0
2.388884, 1, 1, 0
2.3898885, 1, 0, 0
2.3903845, 1, 1, 0
2.391389, 1, 0, 0
2.391885, 1, 1, 0
2.3928895, 1, 0, 0
2.3933855, 1, 1, 0
2.39439, 1, 0, 0
2.394886, 1, 1, 0
2.3958905, 1, 0, 0
2.3963865, 1, 1, 0
2.397391, 1, 0, 0
2.397887, 1, 1, 0
2.3988915, 1, 0, 0
2.3993875, 1, 1, 0
2.400392, 1, 0, 0
2.400888, 1, 1, 0
2.4018925, 1, 0, 0
2.4023885, 1, 1, 0
2.403393, 1, 0, 0
2.4038885, 1, 1, 0
2.4048935, 1, 0, 0
2.405389, 1, 1, 0
2.406394, 1, 0, 0
2.4068895, 1, 1, 0
2.4078945, 1, 0, 0
2.40839, 1, 1, 0
2.409395, 1, 0, 0
